node idx,drug id
0,DB00001
1,DB00002
2,DB00004
3,DB00005
4,DB00006
5,DB00007
6,DB00008
7,DB00009
8,DB00011
9,DB00012
10,DB00013
11,DB00014
12,DB00015
13,DB00016
14,DB00017
15,DB00018
16,DB00019
17,DB00020
18,DB00022
19,DB00023
20,DB00024
21,DB00025
22,DB00026
23,DB00027
24,DB00028
25,DB00029
26,DB00030
27,DB00031
28,DB00033
29,DB00034
30,DB00035
31,DB00036
32,DB00039
33,DB00040
34,DB00041
35,DB00042
36,DB00043
37,DB00046
38,DB00047
39,DB00048
40,DB00049
41,DB00051
42,DB00052
43,DB00054
44,DB00055
45,DB00056
46,DB00057
47,DB00058
48,DB00059
49,DB00060
50,DB00061
51,DB00063
52,DB00065
53,DB00066
54,DB00067
55,DB00068
56,DB00069
57,DB00070
58,DB00071
59,DB00072
60,DB00073
61,DB00074
62,DB00075
63,DB00076
64,DB00078
65,DB00080
66,DB00081
67,DB00082
68,DB00083
69,DB00085
70,DB00086
71,DB00087
72,DB00089
73,DB00091
74,DB00092
75,DB00093
76,DB00095
77,DB00098
78,DB00099
79,DB00100
80,DB00103
81,DB00104
82,DB00105
83,DB00107
84,DB00108
85,DB00109
86,DB00110
87,DB00111
88,DB00112
89,DB00113
90,DB00115
91,DB00116
92,DB00118
93,DB00120
94,DB00122
95,DB00126
96,DB00127
97,DB00130
98,DB00132
99,DB00134
100,DB00136
101,DB00139
102,DB00140
103,DB00142
104,DB00145
105,DB00146
106,DB00150
107,DB00152
108,DB00153
109,DB00155
110,DB00158
111,DB00159
112,DB00162
113,DB00163
114,DB00165
115,DB00166
116,DB00168
117,DB00169
118,DB00170
119,DB00173
120,DB00175
121,DB00176
122,DB00177
123,DB00178
124,DB00179
125,DB00180
126,DB00181
127,DB00182
128,DB00184
129,DB00185
130,DB00186
131,DB00187
132,DB00188
133,DB00189
134,DB00190
135,DB00191
136,DB00193
137,DB00194
138,DB00195
139,DB00196
140,DB00197
141,DB00198
142,DB00199
143,DB00200
144,DB00201
145,DB00202
146,DB00203
147,DB00204
148,DB00205
149,DB00206
150,DB00207
151,DB00208
152,DB00209
153,DB00210
154,DB00211
155,DB00212
156,DB00213
157,DB00214
158,DB00215
159,DB00216
160,DB00217
161,DB00218
162,DB00219
163,DB00220
164,DB00221
165,DB00222
166,DB00223
167,DB00224
168,DB00225
169,DB00226
170,DB00227
171,DB00228
172,DB00229
173,DB00230
174,DB00231
175,DB00232
176,DB00233
177,DB00234
178,DB00235
179,DB00236
180,DB00237
181,DB00238
182,DB00239
183,DB00240
184,DB00241
185,DB00242
186,DB00243
187,DB00244
188,DB00245
189,DB00246
190,DB00247
191,DB00248
192,DB00250
193,DB00252
194,DB00253
195,DB00254
196,DB00255
197,DB00256
198,DB00257
199,DB00258
200,DB00259
201,DB00260
202,DB00261
203,DB00262
204,DB00263
205,DB00264
206,DB00266
207,DB00267
208,DB00268
209,DB00269
210,DB00270
211,DB00271
212,DB00273
213,DB00274
214,DB00275
215,DB00276
216,DB00277
217,DB00278
218,DB00279
219,DB00280
220,DB00281
221,DB00282
222,DB00283
223,DB00284
224,DB00285
225,DB00286
226,DB00287
227,DB00288
228,DB00289
229,DB00290
230,DB00291
231,DB00292
232,DB00293
233,DB00294
234,DB00295
235,DB00296
236,DB00297
237,DB00298
238,DB00299
239,DB00300
240,DB00301
241,DB00302
242,DB00303
243,DB00304
244,DB00305
245,DB00306
246,DB00307
247,DB00308
248,DB00309
249,DB00310
250,DB00311
251,DB00312
252,DB00313
253,DB00314
254,DB00315
255,DB00316
256,DB00317
257,DB00318
258,DB00319
259,DB00320
260,DB00321
261,DB00322
262,DB00323
263,DB00324
264,DB00325
265,DB00326
266,DB00327
267,DB00328
268,DB00330
269,DB00331
270,DB00332
271,DB00333
272,DB00334
273,DB00335
274,DB00337
275,DB00338
276,DB00339
277,DB00340
278,DB00341
279,DB00342
280,DB00343
281,DB00344
282,DB00345
283,DB00346
284,DB00347
285,DB00349
286,DB00350
287,DB00351
288,DB00352
289,DB00353
290,DB00354
291,DB00355
292,DB00356
293,DB00357
294,DB00358
295,DB00359
296,DB00360
297,DB00361
298,DB00362
299,DB00363
300,DB00364
301,DB00365
302,DB00366
303,DB00367
304,DB00368
305,DB00369
306,DB00370
307,DB00371
308,DB00372
309,DB00373
310,DB00374
311,DB00375
312,DB00376
313,DB00377
314,DB00378
315,DB00379
316,DB00380
317,DB00381
318,DB00382
319,DB00383
320,DB00384
321,DB00385
322,DB00387
323,DB00388
324,DB00389
325,DB00390
326,DB00391
327,DB00392
328,DB00393
329,DB00394
330,DB00395
331,DB00396
332,DB00397
333,DB00398
334,DB00399
335,DB00400
336,DB00401
337,DB00402
338,DB00404
339,DB00405
340,DB00407
341,DB00408
342,DB00409
343,DB00410
344,DB00411
345,DB00412
346,DB00413
347,DB00414
348,DB00415
349,DB00416
350,DB00417
351,DB00418
352,DB00420
353,DB00421
354,DB00422
355,DB00423
356,DB00424
357,DB00425
358,DB00426
359,DB00427
360,DB00428
361,DB00429
362,DB00430
363,DB00431
364,DB00432
365,DB00433
366,DB00434
367,DB00435
368,DB00436
369,DB00437
370,DB00438
371,DB00439
372,DB00440
373,DB00441
374,DB00442
375,DB00443
376,DB00444
377,DB00445
378,DB00446
379,DB00447
380,DB00448
381,DB00449
382,DB00450
383,DB00451
384,DB00452
385,DB00453
386,DB00454
387,DB00455
388,DB00456
389,DB00457
390,DB00458
391,DB00459
392,DB00460
393,DB00461
394,DB00462
395,DB00463
396,DB00465
397,DB00467
398,DB00468
399,DB00469
400,DB00470
401,DB00471
402,DB00472
403,DB00474
404,DB00475
405,DB00476
406,DB00477
407,DB00478
408,DB00479
409,DB00480
410,DB00481
411,DB00482
412,DB00483
413,DB00484
414,DB00485
415,DB00486
416,DB00487
417,DB00488
418,DB00489
419,DB00490
420,DB00491
421,DB00492
422,DB00493
423,DB00494
424,DB00495
425,DB00496
426,DB00497
427,DB00498
428,DB00499
429,DB00500
430,DB00501
431,DB00502
432,DB00503
433,DB00504
434,DB00505
435,DB00508
436,DB00511
437,DB00512
438,DB00513
439,DB00514
440,DB00515
441,DB00516
442,DB00517
443,DB00518
444,DB00519
445,DB00520
446,DB00521
447,DB00523
448,DB00524
449,DB00526
450,DB00527
451,DB00528
452,DB00529
453,DB00530
454,DB00531
455,DB00532
456,DB00533
457,DB00535
458,DB00536
459,DB00537
460,DB00539
461,DB00540
462,DB00541
463,DB00542
464,DB00543
465,DB00544
466,DB00545
467,DB00546
468,DB00547
469,DB00548
470,DB00549
471,DB00550
472,DB00551
473,DB00552
474,DB00553
475,DB00554
476,DB00555
477,DB00556
478,DB00557
479,DB00558
480,DB00559
481,DB00560
482,DB00561
483,DB00562
484,DB00563
485,DB00564
486,DB00565
487,DB00566
488,DB00567
489,DB00568
490,DB00569
491,DB00570
492,DB00571
493,DB00572
494,DB00573
495,DB00574
496,DB00575
497,DB00576
498,DB00577
499,DB00578
500,DB00579
501,DB00580
502,DB00581
503,DB00582
504,DB00583
505,DB00584
506,DB00585
507,DB00586
508,DB00588
509,DB00589
510,DB00590
511,DB00591
512,DB00592
513,DB00593
514,DB00594
515,DB00595
516,DB00596
517,DB00597
518,DB00598
519,DB00599
520,DB00601
521,DB00602
522,DB00603
523,DB00604
524,DB00605
525,DB00606
526,DB00607
527,DB00608
528,DB00609
529,DB00610
530,DB00611
531,DB00612
532,DB00613
533,DB00614
534,DB00615
535,DB00616
536,DB00617
537,DB00618
538,DB00619
539,DB00620
540,DB00621
541,DB00622
542,DB00623
543,DB00624
544,DB00625
545,DB00626
546,DB00627
547,DB00628
548,DB00629
549,DB00630
550,DB00631
551,DB00633
552,DB00634
553,DB00635
554,DB00636
555,DB00637
556,DB00640
557,DB00641
558,DB00642
559,DB00643
560,DB00644
561,DB00645
562,DB00646
563,DB00647
564,DB00648
565,DB00649
566,DB00650
567,DB00651
568,DB00652
569,DB00653
570,DB00654
571,DB00655
572,DB00656
573,DB00657
574,DB00658
575,DB00660
576,DB00661
577,DB00662
578,DB00663
579,DB00664
580,DB00665
581,DB00666
582,DB00668
583,DB00669
584,DB00670
585,DB00671
586,DB00672
587,DB00673
588,DB00674
589,DB00675
590,DB00677
591,DB00678
592,DB00679
593,DB00680
594,DB00681
595,DB00682
596,DB00683
597,DB00684
598,DB00685
599,DB00686
600,DB00687
601,DB00688
602,DB00689
603,DB00690
604,DB00691
605,DB00692
606,DB00693
607,DB00694
608,DB00695
609,DB00696
610,DB00697
611,DB00698
612,DB00699
613,DB00700
614,DB00701
615,DB00703
616,DB00704
617,DB00705
618,DB00706
619,DB00707
620,DB00708
621,DB00709
622,DB00710
623,DB00711
624,DB00712
625,DB00713
626,DB00714
627,DB00715
628,DB00716
629,DB00717
630,DB00718
631,DB00719
632,DB00720
633,DB00721
634,DB00722
635,DB00723
636,DB00724
637,DB00725
638,DB00726
639,DB00727
640,DB00728
641,DB00730
642,DB00731
643,DB00732
644,DB00733
645,DB00734
646,DB00736
647,DB00737
648,DB00738
649,DB00739
650,DB00740
651,DB00741
652,DB00742
653,DB00743
654,DB00744
655,DB00745
656,DB00746
657,DB00747
658,DB00748
659,DB00749
660,DB00750
661,DB00751
662,DB00752
663,DB00753
664,DB00754
665,DB00755
666,DB00757
667,DB00758
668,DB00759
669,DB00760
670,DB00761
671,DB00762
672,DB00763
673,DB00764
674,DB00765
675,DB00766
676,DB00767
677,DB00769
678,DB00770
679,DB00771
680,DB00772
681,DB00773
682,DB00774
683,DB00775
684,DB00776
685,DB00777
686,DB00778
687,DB00779
688,DB00780
689,DB00781
690,DB00782
691,DB00783
692,DB00784
693,DB00785
694,DB00787
695,DB00788
696,DB00789
697,DB00790
698,DB00791
699,DB00792
700,DB00793
701,DB00794
702,DB00795
703,DB00796
704,DB00797
705,DB00798
706,DB00799
707,DB00800
708,DB00801
709,DB00802
710,DB00803
711,DB00804
712,DB00805
713,DB00806
714,DB00807
715,DB00808
716,DB00809
717,DB00810
718,DB00811
719,DB00812
720,DB00813
721,DB00814
722,DB00816
723,DB00817
724,DB00818
725,DB00819
726,DB00820
727,DB00821
728,DB00822
729,DB00823
730,DB00825
731,DB00826
732,DB00827
733,DB00828
734,DB00829
735,DB00830
736,DB00831
737,DB00832
738,DB00833
739,DB00834
740,DB00835
741,DB00836
742,DB00837
743,DB00838
744,DB00839
745,DB00841
746,DB00842
747,DB00843
748,DB00844
749,DB00845
750,DB00846
751,DB00847
752,DB00848
753,DB00849
754,DB00850
755,DB00851
756,DB00852
757,DB00853
758,DB00854
759,DB00855
760,DB00856
761,DB00857
762,DB00859
763,DB00860
764,DB00861
765,DB00862
766,DB00863
767,DB00864
768,DB00865
769,DB00866
770,DB00867
771,DB00869
772,DB00870
773,DB00871
774,DB00872
775,DB00873
776,DB00875
777,DB00876
778,DB00877
779,DB00879
780,DB00880
781,DB00881
782,DB00882
783,DB00883
784,DB00884
785,DB00886
786,DB00887
787,DB00888
788,DB00889
789,DB00890
790,DB00891
791,DB00892
792,DB00893
793,DB00894
794,DB00895
795,DB00896
796,DB00897
797,DB00898
798,DB00899
799,DB00900
800,DB00901
801,DB00902
802,DB00903
803,DB00904
804,DB00905
805,DB00906
806,DB00907
807,DB00908
808,DB00909
809,DB00910
810,DB00911
811,DB00912
812,DB00913
813,DB00914
814,DB00915
815,DB00916
816,DB00917
817,DB00918
818,DB00919
819,DB00920
820,DB00921
821,DB00922
822,DB00923
823,DB00924
824,DB00925
825,DB00926
826,DB00927
827,DB00928
828,DB00929
829,DB00930
830,DB00931
831,DB00932
832,DB00933
833,DB00934
834,DB00935
835,DB00936
836,DB00937
837,DB00938
838,DB00939
839,DB00940
840,DB00941
841,DB00942
842,DB00943
843,DB00944
844,DB00945
845,DB00946
846,DB00947
847,DB00948
848,DB00949
849,DB00950
850,DB00951
851,DB00952
852,DB00953
853,DB00954
854,DB00955
855,DB00956
856,DB00957
857,DB00958
858,DB00959
859,DB00960
860,DB00961
861,DB00962
862,DB00963
863,DB00964
864,DB00965
865,DB00966
866,DB00967
867,DB00968
868,DB00969
869,DB00970
870,DB00972
871,DB00973
872,DB00974
873,DB00975
874,DB00976
875,DB00977
876,DB00978
877,DB00979
878,DB00980
879,DB00981
880,DB00982
881,DB00983
882,DB00984
883,DB00985
884,DB00986
885,DB00987
886,DB00988
887,DB00989
888,DB00990
889,DB00991
890,DB00993
891,DB00994
892,DB00995
893,DB00996
894,DB00997
895,DB00998
896,DB00999
897,DB01000
898,DB01001
899,DB01002
900,DB01004
901,DB01005
902,DB01006
903,DB01007
904,DB01008
905,DB01009
906,DB01010
907,DB01011
908,DB01012
909,DB01013
910,DB01014
911,DB01015
912,DB01016
913,DB01017
914,DB01018
915,DB01019
916,DB01020
917,DB01021
918,DB01022
919,DB01023
920,DB01024
921,DB01026
922,DB01028
923,DB01029
924,DB01030
925,DB01032
926,DB01033
927,DB01034
928,DB01035
929,DB01036
930,DB01037
931,DB01038
932,DB01039
933,DB01041
934,DB01042
935,DB01043
936,DB01044
937,DB01045
938,DB01046
939,DB01047
940,DB01048
941,DB01049
942,DB01050
943,DB01051
944,DB01053
945,DB01054
946,DB01056
947,DB01057
948,DB01058
949,DB01059
950,DB01060
951,DB01061
952,DB01062
953,DB01063
954,DB01064
955,DB01065
956,DB01066
957,DB01067
958,DB01068
959,DB01069
960,DB01070
961,DB01071
962,DB01072
963,DB01073
964,DB01074
965,DB01075
966,DB01076
967,DB01077
968,DB01078
969,DB01079
970,DB01080
971,DB01081
972,DB01082
973,DB01083
974,DB01084
975,DB01085
976,DB01086
977,DB01087
978,DB01088
979,DB01089
980,DB01090
981,DB01092
982,DB01093
983,DB01094
984,DB01095
985,DB01096
986,DB01097
987,DB01098
988,DB01099
989,DB01100
990,DB01101
991,DB01102
992,DB01103
993,DB01104
994,DB01105
995,DB01106
996,DB01107
997,DB01108
998,DB01109
999,DB01110
1000,DB01111
1001,DB01112
1002,DB01113
1003,DB01114
1004,DB01115
1005,DB01116
1006,DB01117
1007,DB01118
1008,DB01119
1009,DB01120
1010,DB01121
1011,DB01122
1012,DB01124
1013,DB01126
1014,DB01127
1015,DB01128
1016,DB01129
1017,DB01130
1018,DB01131
1019,DB01132
1020,DB01133
1021,DB01134
1022,DB01135
1023,DB01136
1024,DB01137
1025,DB01138
1026,DB01139
1027,DB01140
1028,DB01141
1029,DB01142
1030,DB01143
1031,DB01144
1032,DB01146
1033,DB01147
1034,DB01148
1035,DB01149
1036,DB01150
1037,DB01151
1038,DB01152
1039,DB01154
1040,DB01155
1041,DB01156
1042,DB01157
1043,DB01158
1044,DB01159
1045,DB01160
1046,DB01161
1047,DB01162
1048,DB01163
1049,DB01164
1050,DB01165
1051,DB01166
1052,DB01167
1053,DB01168
1054,DB01169
1055,DB01170
1056,DB01171
1057,DB01172
1058,DB01173
1059,DB01174
1060,DB01175
1061,DB01176
1062,DB01177
1063,DB01178
1064,DB01180
1065,DB01181
1066,DB01182
1067,DB01183
1068,DB01184
1069,DB01185
1070,DB01186
1071,DB01188
1072,DB01189
1073,DB01190
1074,DB01191
1075,DB01192
1076,DB01193
1077,DB01194
1078,DB01195
1079,DB01196
1080,DB01197
1081,DB01198
1082,DB01199
1083,DB01200
1084,DB01201
1085,DB01202
1086,DB01203
1087,DB01204
1088,DB01205
1089,DB01206
1090,DB01207
1091,DB01208
1092,DB01209
1093,DB01210
1094,DB01211
1095,DB01212
1096,DB01213
1097,DB01214
1098,DB01215
1099,DB01216
1100,DB01217
1101,DB01218
1102,DB01219
1103,DB01220
1104,DB01221
1105,DB01222
1106,DB01223
1107,DB01224
1108,DB01225
1109,DB01226
1110,DB01227
1111,DB01228
1112,DB01229
1113,DB01231
1114,DB01232
1115,DB01233
1116,DB01234
1117,DB01235
1118,DB01236
1119,DB01238
1120,DB01239
1121,DB01240
1122,DB01241
1123,DB01242
1124,DB01243
1125,DB01244
1126,DB01245
1127,DB01246
1128,DB01247
1129,DB01248
1130,DB01249
1131,DB01250
1132,DB01251
1133,DB01252
1134,DB01253
1135,DB01254
1136,DB01255
1137,DB01256
1138,DB01257
1139,DB01259
1140,DB01260
1141,DB01261
1142,DB01262
1143,DB01263
1144,DB01264
1145,DB01265
1146,DB01267
1147,DB01268
1148,DB01269
1149,DB01270
1150,DB01273
1151,DB01274
1152,DB01275
1153,DB01276
1154,DB01277
1155,DB01278
1156,DB01280
1157,DB01281
1158,DB01282
1159,DB01283
1160,DB01284
1161,DB01285
1162,DB01288
1163,DB01289
1164,DB01291
1165,DB01294
1166,DB01295
1167,DB01296
1168,DB01297
1169,DB01298
1170,DB01299
1171,DB01301
1172,DB01303
1173,DB01306
1174,DB01307
1175,DB01309
1176,DB01319
1177,DB01320
1178,DB01321
1179,DB01323
1180,DB01324
1181,DB01325
1182,DB01326
1183,DB01327
1184,DB01328
1185,DB01329
1186,DB01330
1187,DB01331
1188,DB01332
1189,DB01333
1190,DB01336
1191,DB01337
1192,DB01338
1193,DB01339
1194,DB01340
1195,DB01342
1196,DB01344
1197,DB01345
1198,DB01347
1199,DB01348
1200,DB01349
1201,DB01351
1202,DB01352
1203,DB01353
1204,DB01354
1205,DB01355
1206,DB01356
1207,DB01357
1208,DB01359
1209,DB01362
1210,DB01363
1211,DB01364
1212,DB01365
1213,DB01366
1214,DB01367
1215,DB01369
1216,DB01370
1217,DB01373
1218,DB01377
1219,DB01378
1220,DB01380
1221,DB01381
1222,DB01382
1223,DB01384
1224,DB01388
1225,DB01390
1226,DB01392
1227,DB01393
1228,DB01394
1229,DB01395
1230,DB01396
1231,DB01397
1232,DB01399
1233,DB01400
1234,DB01401
1235,DB01403
1236,DB01404
1237,DB01405
1238,DB01406
1239,DB01407
1240,DB01408
1241,DB01409
1242,DB01410
1243,DB01411
1244,DB01412
1245,DB01413
1246,DB01414
1247,DB01415
1248,DB01416
1249,DB01418
1250,DB01419
1251,DB01420
1252,DB01421
1253,DB01422
1254,DB01423
1255,DB01424
1256,DB01425
1257,DB01426
1258,DB01427
1259,DB01428
1260,DB01429
1261,DB01431
1262,DB01432
1263,DB01433
1264,DB01434
1265,DB01435
1266,DB01436
1267,DB01437
1268,DB01438
1269,DB01440
1270,DB01442
1271,DB01445
1272,DB01450
1273,DB01452
1274,DB01454
1275,DB01456
1276,DB01459
1277,DB01463
1278,DB01466
1279,DB01467
1280,DB01471
1281,DB01472
1282,DB01481
1283,DB01482
1284,DB01483
1285,DB01484
1286,DB01485
1287,DB01488
1288,DB01489
1289,DB01495
1290,DB01496
1291,DB01497
1292,DB01501
1293,DB01509
1294,DB01510
1295,DB01511
1296,DB01520
1297,DB01521
1298,DB01524
1299,DB01525
1300,DB01529
1301,DB01531
1302,DB01534
1303,DB01535
1304,DB01536
1305,DB01537
1306,DB01541
1307,DB01543
1308,DB01544
1309,DB01545
1310,DB01547
1311,DB01548
1312,DB01550
1313,DB01551
1314,DB01553
1315,DB01554
1316,DB01555
1317,DB01556
1318,DB01558
1319,DB01559
1320,DB01560
1321,DB01562
1322,DB01563
1323,DB01564
1324,DB01565
1325,DB01566
1326,DB01567
1327,DB01569
1328,DB01572
1329,DB01575
1330,DB01576
1331,DB01577
1332,DB01579
1333,DB01580
1334,DB01581
1335,DB01582
1336,DB01583
1337,DB01586
1338,DB01587
1339,DB01588
1340,DB01589
1341,DB01590
1342,DB01591
1343,DB01592
1344,DB01593
1345,DB01594
1346,DB01595
1347,DB01597
1348,DB01598
1349,DB01599
1350,DB01600
1351,DB01601
1352,DB01602
1353,DB01603
1354,DB01604
1355,DB01605
1356,DB01606
1357,DB01607
1358,DB01608
1359,DB01609
1360,DB01610
1361,DB01611
1362,DB01612
1363,DB01613
1364,DB01614
1365,DB01615
1366,DB01616
1367,DB01618
1368,DB01619
1369,DB01620
1370,DB01621
1371,DB01622
1372,DB01623
1373,DB01624
1374,DB01625
1375,DB01626
1376,DB01627
1377,DB01628
1378,DB01629
1379,DB01638
1380,DB01645
1381,DB01650
1382,DB01656
1383,DB01667
1384,DB01669
1385,DB01685
1386,DB01698
1387,DB01700
1388,DB01708
1389,DB01740
1390,DB01764
1391,DB01783
1392,DB01791
1393,DB01816
1394,DB01839
1395,DB01873
1396,DB01892
1397,DB01910
1398,DB01933
1399,DB01942
1400,DB01954
1401,DB01978
1402,DB02031
1403,DB02032
1404,DB02056
1405,DB02058
1406,DB02067
1407,DB02105
1408,DB02109
1409,DB02115
